x	y	z	contour type	sliceID	weight	time frame
38.429	-58.578	46.669	MITRAL_VALVE	1	1.0	8
72.064	-32.503	64.117	MITRAL_VALVE	1	1.0	8
38.409	-71.133	36.277	TRICUSPID_VALVE	1	1.0	8
1.344	-94.311	21.650	TRICUSPID_VALVE	1	1.0	8
44.476	-66.250	59.764	MITRAL_VALVE	2	1.0	8
55.762	-45.118	43.103	MITRAL_VALVE	2	1.0	8
42.853	-66.250	61.666	AORTA_VALVE	2	1.0	8
45.663	-91.112	62.421	AORTA_VALVE	2	1.0	8
59.284	-55.261	60.952	MITRAL_VALVE	3	1.0	8
48.745	-39.754	37.202	MITRAL_VALVE	3	1.0	8
101.440	-117.293	5.952	APEX_POINT	3	1.0	8
36.142	-56.647	48.550	LAX_LV_ENDOCARDIAL	1	1.0	8
34.805	-57.613	47.915	LAX_LV_ENDOCARDIAL	1	1.0	8
35.948	-58.578	46.975	LAX_LV_ENDOCARDIAL	1	1.0	8
37.092	-59.544	46.034	LAX_LV_ENDOCARDIAL	1	1.0	8
38.236	-60.510	45.094	LAX_LV_ENDOCARDIAL	1	1.0	8
39.379	-61.476	44.153	LAX_LV_ENDOCARDIAL	1	1.0	8
40.523	-62.441	43.213	LAX_LV_ENDOCARDIAL	1	1.0	8
41.666	-63.407	42.273	LAX_LV_ENDOCARDIAL	1	1.0	8
42.907	-63.407	42.120	LAX_LV_ENDOCARDIAL	1	1.0	8
44.051	-64.373	41.179	LAX_LV_ENDOCARDIAL	1	1.0	8
45.194	-65.339	40.239	LAX_LV_ENDOCARDIAL	1	1.0	8
46.435	-65.339	40.086	LAX_LV_ENDOCARDIAL	1	1.0	8
47.579	-66.304	39.146	LAX_LV_ENDOCARDIAL	1	1.0	8
48.819	-66.304	38.993	LAX_LV_ENDOCARDIAL	1	1.0	8
49.963	-67.270	38.053	LAX_LV_ENDOCARDIAL	1	1.0	8
51.204	-67.270	37.900	LAX_LV_ENDOCARDIAL	1	1.0	8
52.347	-68.236	36.959	LAX_LV_ENDOCARDIAL	1	1.0	8
53.588	-68.236	36.806	LAX_LV_ENDOCARDIAL	1	1.0	8
54.731	-69.202	35.866	LAX_LV_ENDOCARDIAL	1	1.0	8
55.972	-69.202	35.713	LAX_LV_ENDOCARDIAL	1	1.0	8
57.116	-70.167	34.773	LAX_LV_ENDOCARDIAL	1	1.0	8
58.356	-70.167	34.620	LAX_LV_ENDOCARDIAL	1	1.0	8
59.500	-71.133	33.680	LAX_LV_ENDOCARDIAL	1	1.0	8
60.644	-72.099	32.739	LAX_LV_ENDOCARDIAL	1	1.0	8
61.787	-73.064	31.799	LAX_LV_ENDOCARDIAL	1	1.0	8
63.028	-73.064	31.646	LAX_LV_ENDOCARDIAL	1	1.0	8
64.172	-74.030	30.706	LAX_LV_ENDOCARDIAL	1	1.0	8
65.315	-74.996	29.765	LAX_LV_ENDOCARDIAL	1	1.0	8
66.459	-75.962	28.825	LAX_LV_ENDOCARDIAL	1	1.0	8
67.603	-76.927	27.884	LAX_LV_ENDOCARDIAL	1	1.0	8
68.746	-77.893	26.944	LAX_LV_ENDOCARDIAL	1	1.0	8
69.890	-78.859	26.003	LAX_LV_ENDOCARDIAL	1	1.0	8
