x	y	z	contour type	sliceID	weight	time frame
39.961	-55.681	48.879	MITRAL_VALVE	1	1.0	9
73.886	-26.709	68.691	MITRAL_VALVE	1	1.0	9
39.844	-69.202	37.699	TRICUSPID_VALVE	1	1.0	9
0.491	-90.448	24.953	TRICUSPID_VALVE	1	1.0	9
45.188	-65.007	58.728	MITRAL_VALVE	2	1.0	9
57.897	-41.389	39.995	MITRAL_VALVE	2	1.0	9
42.753	-65.007	61.581	AORTA_VALVE	2	1.0	9
44.139	-92.355	64.408	AORTA_VALVE	2	1.0	9
57.879	-53.194	62.202	MITRAL_VALVE	3	1.0	9
49.447	-40.788	39.702	MITRAL_VALVE	3	1.0	9
101.440	-117.293	3.452	APEX_POINT	3	1.0	9
37.577	-54.715	49.972	LAX_LV_ENDOCARDIAL	1	1.0	9
37.480	-55.681	49.185	LAX_LV_ENDOCARDIAL	1	1.0	9
36.239	-55.681	49.338	LAX_LV_ENDOCARDIAL	1	1.0	9
34.902	-56.647	48.703	LAX_LV_ENDOCARDIAL	1	1.0	9
34.805	-57.613	47.915	LAX_LV_ENDOCARDIAL	1	1.0	9
35.948	-58.578	46.975	LAX_LV_ENDOCARDIAL	1	1.0	9
37.092	-59.544	46.034	LAX_LV_ENDOCARDIAL	1	1.0	9
38.236	-60.510	45.094	LAX_LV_ENDOCARDIAL	1	1.0	9
39.476	-60.510	44.941	LAX_LV_ENDOCARDIAL	1	1.0	9
40.620	-61.476	44.001	LAX_LV_ENDOCARDIAL	1	1.0	9
41.764	-62.441	43.060	LAX_LV_ENDOCARDIAL	1	1.0	9
42.907	-63.407	42.120	LAX_LV_ENDOCARDIAL	1	1.0	9
44.051	-64.373	41.179	LAX_LV_ENDOCARDIAL	1	1.0	9
45.291	-64.373	41.026	LAX_LV_ENDOCARDIAL	1	1.0	9
46.435	-65.339	40.086	LAX_LV_ENDOCARDIAL	1	1.0	9
47.579	-66.304	39.146	LAX_LV_ENDOCARDIAL	1	1.0	9
48.819	-66.304	38.993	LAX_LV_ENDOCARDIAL	1	1.0	9
49.963	-67.270	38.053	LAX_LV_ENDOCARDIAL	1	1.0	9
51.204	-67.270	37.900	LAX_LV_ENDOCARDIAL	1	1.0	9
52.347	-68.236	36.959	LAX_LV_ENDOCARDIAL	1	1.0	9
53.588	-68.236	36.806	LAX_LV_ENDOCARDIAL	1	1.0	9
54.731	-69.202	35.866	LAX_LV_ENDOCARDIAL	1	1.0	9
55.972	-69.202	35.713	LAX_LV_ENDOCARDIAL	1	1.0	9
57.116	-70.167	34.773	LAX_LV_ENDOCARDIAL	1	1.0	9
58.356	-70.167	34.620	LAX_LV_ENDOCARDIAL	1	1.0	9
59.500	-71.133	33.680	LAX_LV_ENDOCARDIAL	1	1.0	9
60.644	-72.099	32.739	LAX_LV_ENDOCARDIAL	1	1.0	9
61.787	-73.064	31.799	LAX_LV_ENDOCARDIAL	1	1.0	9
63.028	-73.064	31.646	LAX_LV_ENDOCARDIAL	1	1.0	9
64.172	-74.030	30.706	LAX_LV_ENDOCARDIAL	1	1.0	9
64.075	-74.996	29.918	LAX_LV_ENDOCARDIAL	1	1.0	9
65.218	-75.962	28.978	LAX_LV_ENDOCARDIAL	1	1.0	9
66.362	-76.927	28.037	LAX_LV_ENDOCARDIAL	1	1.0	9
67.506	-77.893	27.097	LAX_LV_ENDOCARDIAL	1	1.0	9
