x	y	z	contour type	sliceID	weight	time frame
32.905	-51.818	52.947	MITRAL_VALVE	1	1.0	12
68.071	-22.846	72.605	MITRAL_VALVE	1	1.0	12
32.982	-63.407	43.342	TRICUSPID_VALVE	1	1.0	12
-2.164	-79.825	34.076	TRICUSPID_VALVE	1	1.0	12
34.437	-62.521	70.917	MITRAL_VALVE	2	1.0	12
51.729	-25.229	44.591	MITRAL_VALVE	2	1.0	12
31.291	-63.764	74.805	AORTA_VALVE	2	1.0	12
32.278	-86.140	77.291	AORTA_VALVE	2	1.0	12
59.986	-56.295	67.202	MITRAL_VALVE	3	1.0	12
48.845	-39.901	32.202	MITRAL_VALVE	3	1.0	12
99.189	-120.946	4.573	APEX_POINT	2	1.0	12
70.456	-23.811	71.512	LAX_LV_ENDOCARDIAL	1	1.0	12
71.599	-24.777	70.571	LAX_LV_ENDOCARDIAL	1	1.0	12
72.840	-24.777	70.419	LAX_LV_ENDOCARDIAL	1	1.0	12
74.080	-24.777	70.266	LAX_LV_ENDOCARDIAL	1	1.0	12
75.321	-24.777	70.113	LAX_LV_ENDOCARDIAL	1	1.0	12
76.465	-25.743	69.173	LAX_LV_ENDOCARDIAL	1	1.0	12
77.705	-25.743	69.020	LAX_LV_ENDOCARDIAL	1	1.0	12
78.849	-26.709	68.079	LAX_LV_ENDOCARDIAL	1	1.0	12
79.993	-27.674	67.139	LAX_LV_ENDOCARDIAL	1	1.0	12
81.136	-28.640	66.199	LAX_LV_ENDOCARDIAL	1	1.0	12
82.280	-29.606	65.258	LAX_LV_ENDOCARDIAL	1	1.0	12
83.424	-30.572	64.318	LAX_LV_ENDOCARDIAL	1	1.0	12
83.326	-31.537	63.530	LAX_LV_ENDOCARDIAL	1	1.0	12
84.470	-32.503	62.590	LAX_LV_ENDOCARDIAL	1	1.0	12
84.373	-33.469	61.802	LAX_LV_ENDOCARDIAL	1	1.0	12
85.517	-34.435	60.862	LAX_LV_ENDOCARDIAL	1	1.0	12
86.660	-35.400	59.921	LAX_LV_ENDOCARDIAL	1	1.0	12
87.804	-36.366	58.981	LAX_LV_ENDOCARDIAL	1	1.0	12
88.948	-37.332	58.040	LAX_LV_ENDOCARDIAL	1	1.0	12
90.091	-38.298	57.100	LAX_LV_ENDOCARDIAL	1	1.0	12
91.235	-39.263	56.160	LAX_LV_ENDOCARDIAL	1	1.0	12
92.379	-40.229	55.219	LAX_LV_ENDOCARDIAL	1	1.0	12
93.522	-41.195	54.279	LAX_LV_ENDOCARDIAL	1	1.0	12
94.666	-42.161	53.338	LAX_LV_ENDOCARDIAL	1	1.0	12
95.810	-43.126	52.398	LAX_LV_ENDOCARDIAL	1	1.0	12
96.953	-44.092	51.457	LAX_LV_ENDOCARDIAL	1	1.0	12
98.097	-45.058	50.517	LAX_LV_ENDOCARDIAL	1	1.0	12
98.000	-46.024	49.729	LAX_LV_ENDOCARDIAL	1	1.0	12
99.144	-46.989	48.789	LAX_LV_ENDOCARDIAL	1	1.0	12
99.047	-47.955	48.001	LAX_LV_ENDOCARDIAL	1	1.0	12
98.950	-48.921	47.214	LAX_LV_ENDOCARDIAL	1	1.0	12
