x	y	z	contour type	sliceID	weight	time frame
32.441	-44.092	59.401	MITRAL_VALVE	1	1.0	3
65.202	-26.709	69.760	MITRAL_VALVE	1	1.0	3
29.745	-58.578	47.738	TRICUSPID_VALVE	1	1.0	3
-7.785	-74.030	39.566	TRICUSPID_VALVE	1	1.0	3
42.853	-66.250	61.666	MITRAL_VALVE	2	1.0	3
55.063	-36.416	42.506	MITRAL_VALVE	2	1.0	3
40.518	-67.493	64.603	AORTA_VALVE	2	1.0	3
42.616	-93.598	66.394	AORTA_VALVE	2	1.0	3
59.284	-55.261	62.202	MITRAL_VALVE	3	1.0	3
49.447	-40.788	27.202	MITRAL_VALVE	3	1.0	3
99.431	-105.900	-0.023	APEX_POINT	1	1.0	3
41.028	-45.058	57.544	LAX_LV_ENDOCARDIAL	1	1.0	3
39.690	-46.024	56.909	LAX_LV_ENDOCARDIAL	1	1.0	3
38.353	-46.989	56.274	LAX_LV_ENDOCARDIAL	1	1.0	3
37.015	-47.955	55.639	LAX_LV_ENDOCARDIAL	1	1.0	3
36.918	-48.921	54.851	LAX_LV_ENDOCARDIAL	1	1.0	3
35.581	-49.887	54.216	LAX_LV_ENDOCARDIAL	1	1.0	3
34.340	-49.887	54.369	LAX_LV_ENDOCARDIAL	1	1.0	3
33.099	-49.887	54.522	LAX_LV_ENDOCARDIAL	1	1.0	3
31.762	-50.852	53.887	LAX_LV_ENDOCARDIAL	1	1.0	3
30.424	-51.818	53.252	LAX_LV_ENDOCARDIAL	1	1.0	3
31.568	-52.784	52.312	LAX_LV_ENDOCARDIAL	1	1.0	3
31.471	-53.750	51.524	LAX_LV_ENDOCARDIAL	1	1.0	3
31.374	-54.715	50.736	LAX_LV_ENDOCARDIAL	1	1.0	3
32.517	-55.681	49.796	LAX_LV_ENDOCARDIAL	1	1.0	3
32.420	-56.647	49.008	LAX_LV_ENDOCARDIAL	1	1.0	3
33.564	-57.613	48.068	LAX_LV_ENDOCARDIAL	1	1.0	3
34.708	-58.578	47.127	LAX_LV_ENDOCARDIAL	1	1.0	3
34.611	-59.544	46.340	LAX_LV_ENDOCARDIAL	1	1.0	3
35.754	-60.510	45.399	LAX_LV_ENDOCARDIAL	1	1.0	3
36.898	-61.476	44.459	LAX_LV_ENDOCARDIAL	1	1.0	3
36.801	-62.441	43.671	LAX_LV_ENDOCARDIAL	1	1.0	3
37.945	-63.407	42.731	LAX_LV_ENDOCARDIAL	1	1.0	3
39.088	-64.373	41.790	LAX_LV_ENDOCARDIAL	1	1.0	3
40.232	-65.339	40.850	LAX_LV_ENDOCARDIAL	1	1.0	3
41.472	-65.339	40.697	LAX_LV_ENDOCARDIAL	1	1.0	3
42.616	-66.304	39.757	LAX_LV_ENDOCARDIAL	1	1.0	3
43.760	-67.270	38.816	LAX_LV_ENDOCARDIAL	1	1.0	3
45.000	-67.270	38.663	LAX_LV_ENDOCARDIAL	1	1.0	3
