x	y	z	contour type	sliceID	weight	time frame
33.593	-52.180	52.562	MITRAL_VALVE	1	1.0	6
39.476	-60.510	44.941	MITRAL_VALVE	1	1.0	6
47.922	-68.737	56.132	MITRAL_VALVE	2	1.0	6
58.409	-37.660	38.789	MITRAL_VALVE	2	1.0	6
46.399	-69.980	58.119	AORTA_VALVE	2	1.0	6
48.197	-92.355	59.654	AORTA_VALVE	2	1.0	6
61.392	-58.363	62.202	MITRAL_VALVE	3	1.0	6
50.853	-42.855	32.202	MITRAL_VALVE	3	1.0	6
101.440	-117.293	5.952	APEX_POINT	3	1.0	6
69.486	-33.469	63.635	LAX_LV_ENDOCARDIAL	1	1.0	6
69.486	-33.469	63.635	LAX_LV_ENDOCARDIAL	1	1.0	6
68.148	-34.435	63.000	LAX_LV_ENDOCARDIAL	1	1.0	6
68.051	-35.400	62.213	LAX_LV_ENDOCARDIAL	1	1.0	6
67.954	-36.366	61.425	LAX_LV_ENDOCARDIAL	1	1.0	6
66.713	-36.366	61.578	LAX_LV_ENDOCARDIAL	1	1.0	6
65.376	-37.332	60.943	LAX_LV_ENDOCARDIAL	1	1.0	6
64.135	-37.332	61.096	LAX_LV_ENDOCARDIAL	1	1.0	6
62.797	-38.298	60.461	LAX_LV_ENDOCARDIAL	1	1.0	6
61.460	-39.263	59.826	LAX_LV_ENDOCARDIAL	1	1.0	6
60.219	-39.263	59.978	LAX_LV_ENDOCARDIAL	1	1.0	6
58.882	-40.229	59.343	LAX_LV_ENDOCARDIAL	1	1.0	6
57.544	-41.195	58.709	LAX_LV_ENDOCARDIAL	1	1.0	6
56.206	-42.161	58.074	LAX_LV_ENDOCARDIAL	1	1.0	6
54.869	-43.126	57.439	LAX_LV_ENDOCARDIAL	1	1.0	6
53.628	-43.126	57.592	LAX_LV_ENDOCARDIAL	1	1.0	6
52.291	-44.092	56.957	LAX_LV_ENDOCARDIAL	1	1.0	6
50.953	-45.058	56.322	LAX_LV_ENDOCARDIAL	1	1.0	6
49.615	-46.024	55.687	LAX_LV_ENDOCARDIAL	1	1.0	6
48.278	-46.989	55.052	LAX_LV_ENDOCARDIAL	1	1.0	6
46.940	-47.955	54.417	LAX_LV_ENDOCARDIAL	1	1.0	6
45.602	-48.921	53.782	LAX_LV_ENDOCARDIAL	1	1.0	6
44.265	-49.887	53.147	LAX_LV_ENDOCARDIAL	1	1.0	6
42.927	-50.852	52.512	LAX_LV_ENDOCARDIAL	1	1.0	6
41.590	-51.818	51.877	LAX_LV_ENDOCARDIAL	1	1.0	6
40.252	-52.784	51.242	LAX_LV_ENDOCARDIAL	1	1.0	6
40.155	-53.750	50.455	LAX_LV_ENDOCARDIAL	1	1.0	6
40.523	-62.441	43.213	LAX_LV_ENDOCARDIAL	1	1.0	6
41.666	-63.407	42.273	LAX_LV_ENDOCARDIAL	1	1.0	6
42.907	-63.407	42.120	LAX_LV_ENDOCARDIAL	1	1.0	6
44.051	-64.373	41.179	LAX_LV_ENDOCARDIAL	1	1.0	6
45.291	-64.373	41.026	LAX_LV_ENDOCARDIAL	1	1.0	6
46.435	-65.339	40.086	LAX_LV_ENDOCARDIAL	1	1.0	6
47.579	-66.304	39.146	LAX_LV_ENDOCARDIAL	1	1.0	6
48.819	-66.304	38.993	LAX_LV_ENDOCARDIAL	1	1.0	6
49.963	-67.270	38.053	LAX_LV_ENDOCARDIAL	1	1.0	6
51.204	-67.270	37.900	LAX_LV_ENDOCARDIAL	1	1.0	6
52.347	-68.236	36.959	LAX_LV_ENDOCARDIAL	1	1.0	6
53.588	-68.236	36.806	LAX_LV_ENDOCARDIAL	1	1.0	6
54.828	-68.236	36.654	LAX_LV_ENDOCARDIAL	1	1.0	6
55.972	-69.202	35.713	LAX_LV_ENDOCARDIAL	1	1.0	6
57.213	-69.202	35.561	LAX_LV_ENDOCARDIAL	1	1.0	6
58.356	-70.167	34.620	LAX_LV_ENDOCARDIAL	1	1.0	6
59.597	-70.167	34.467	LAX_LV_ENDOCARDIAL	1	1.0	6
60.741	-71.133	33.527	LAX_LV_ENDOCARDIAL	1	1.0	6
61.884	-72.099	32.587	LAX_LV_ENDOCARDIAL	1	1.0	6
63.028	-73.064	31.646	LAX_LV_ENDOCARDIAL	1	1.0	6
64.172	-74.030	30.706	LAX_LV_ENDOCARDIAL	1	1.0	6
65.315	-74.996	29.765	LAX_LV_ENDOCARDIAL	1	1.0	6
66.459	-75.962	28.825	LAX_LV_ENDOCARDIAL	1	1.0	6
67.603	-76.927	27.884	LAX_LV_ENDOCARDIAL	1	1.0	6
68.746	-77.893	26.944	LAX_LV_ENDOCARDIAL	1	1.0	6
69.890	-78.859	26.003	LAX_LV_ENDOCARDIAL	1	1.0	6
71.034	-79.825	25.063	LAX_LV_ENDOCARDIAL	1	1.0	6
72.177	-80.790	24.123	LAX_LV_ENDOCARDIAL	1	1.0	6
73.321	-81.756	23.182	LAX_LV_ENDOCARDIAL	1	1.0	6
73.224	-82.722	22.395	LAX_LV_ENDOCARDIAL	1	1.0	6
74.367	-83.688	21.454	LAX_LV_ENDOCARDIAL	1	1.0	6
75.511	-84.653	20.514	LAX_LV_ENDOCARDIAL	1	1.0	6
75.414	-85.619	19.726	LAX_LV_ENDOCARDIAL	1	1.0	6
