x	y	z	contour type	sliceID	weight	time frame
34.243	-50.852	53.581	MITRAL_VALVE	1	1.0	16
68.362	-19.948	74.968	MITRAL_VALVE	1	1.0	16
32.788	-65.339	41.766	TRICUSPID_VALVE	1	1.0	16
-7.223	-80.790	33.899	TRICUSPID_VALVE	1	1.0	16
42.441	-71.223	62.958	MITRAL_VALVE	2	1.0	16
53.028	-41.389	45.700	MITRAL_VALVE	2	1.0	16
41.729	-72.466	63.994	AORTA_VALVE	2	1.0	16
39.070	-89.869	69.942	AORTA_VALVE	2	1.0	16
59.986	-56.295	59.702	MITRAL_VALVE	3	1.0	16
48.845	-39.901	32.202	MITRAL_VALVE	3	1.0	16
99.722	-103.003	2.340	APEX_POINT	1	1.0	16
70.552	-22.846	72.299	LAX_LV_ENDOCARDIAL	1	1.0	16
71.793	-22.846	72.147	LAX_LV_ENDOCARDIAL	1	1.0	16
73.034	-22.846	71.994	LAX_LV_ENDOCARDIAL	1	1.0	16
74.177	-23.811	71.054	LAX_LV_ENDOCARDIAL	1	1.0	16
75.418	-23.811	70.901	LAX_LV_ENDOCARDIAL	1	1.0	16
76.659	-23.811	70.748	LAX_LV_ENDOCARDIAL	1	1.0	16
77.802	-24.777	69.808	LAX_LV_ENDOCARDIAL	1	1.0	16
79.043	-24.777	69.655	LAX_LV_ENDOCARDIAL	1	1.0	16
80.187	-25.743	68.715	LAX_LV_ENDOCARDIAL	1	1.0	16
81.427	-25.743	68.562	LAX_LV_ENDOCARDIAL	1	1.0	16
82.571	-26.709	67.621	LAX_LV_ENDOCARDIAL	1	1.0	16
83.715	-27.674	66.681	LAX_LV_ENDOCARDIAL	1	1.0	16
84.858	-28.640	65.740	LAX_LV_ENDOCARDIAL	1	1.0	16
86.002	-29.606	64.800	LAX_LV_ENDOCARDIAL	1	1.0	16
87.145	-30.572	63.860	LAX_LV_ENDOCARDIAL	1	1.0	16
88.289	-31.537	62.919	LAX_LV_ENDOCARDIAL	1	1.0	16
88.192	-32.503	62.132	LAX_LV_ENDOCARDIAL	1	1.0	16
89.336	-33.469	61.191	LAX_LV_ENDOCARDIAL	1	1.0	16
90.479	-34.435	60.251	LAX_LV_ENDOCARDIAL	1	1.0	16
90.382	-35.400	59.463	LAX_LV_ENDOCARDIAL	1	1.0	16
91.526	-36.366	58.523	LAX_LV_ENDOCARDIAL	1	1.0	16
91.429	-37.332	57.735	LAX_LV_ENDOCARDIAL	1	1.0	16
92.573	-38.298	56.794	LAX_LV_ENDOCARDIAL	1	1.0	16
93.716	-39.263	55.854	LAX_LV_ENDOCARDIAL	1	1.0	16
94.860	-40.229	54.913	LAX_LV_ENDOCARDIAL	1	1.0	16
96.004	-41.195	53.973	LAX_LV_ENDOCARDIAL	1	1.0	16
97.147	-42.161	53.033	LAX_LV_ENDOCARDIAL	1	1.0	16
98.291	-43.126	52.092	LAX_LV_ENDOCARDIAL	1	1.0	16
99.435	-44.092	51.152	LAX_LV_ENDOCARDIAL	1	1.0	16
100.578	-45.058	50.211	LAX_LV_ENDOCARDIAL	1	1.0	16
100.481	-46.024	49.424	LAX_LV_ENDOCARDIAL	1	1.0	16
100.384	-46.989	48.636	LAX_LV_ENDOCARDIAL	1	1.0	16
101.528	-47.955	47.696	LAX_LV_ENDOCARDIAL	1	1.0	16
101.431	-48.921	46.908	LAX_LV_ENDOCARDIAL	1	1.0	16
101.334	-49.887	46.120	LAX_LV_ENDOCARDIAL	1	1.0	16
101.237	-50.852	45.333	LAX_LV_ENDOCARDIAL	1	1.0	16
101.140	-51.818	44.545	LAX_LV_ENDOCARDIAL	1	1.0	16
102.284	-52.784	43.605	LAX_LV_ENDOCARDIAL	1	1.0	16
