x	y	z	contour type	sliceID	weight	time frame
33.952	-53.750	51.218	MITRAL_VALVE	1	1.0	21
69.700	-18.983	75.603	MITRAL_VALVE	1	1.0	21
32.400	-69.202	38.616	TRICUSPID_VALVE	1	1.0	21
-7.805	-86.585	29.173	TRICUSPID_VALVE	1	1.0	21
42.123	-65.919	62.467	MITRAL_VALVE	2	1.0	21
54.326	-38.537	43.714	MITRAL_VALVE	2	1.0	21
40.038	-66.913	65.071	AORTA_VALVE	2	1.0	21
41.136	-90.335	67.597	AORTA_VALVE	2	1.0	21
58.581	-54.227	58.452	MITRAL_VALVE	3	1.0	21
48.845	-39.901	32.202	MITRAL_VALVE	3	1.0	21
99.722	-103.003	2.340	APEX_POINT	1	1.0	21
31.859	-49.887	54.675	LAX_LV_ENDOCARDIAL	1	1.0	21
30.521	-50.852	54.040	LAX_LV_ENDOCARDIAL	1	1.0	21
29.183	-51.818	53.405	LAX_LV_ENDOCARDIAL	1	1.0	21
29.086	-52.784	52.617	LAX_LV_ENDOCARDIAL	1	1.0	21
30.230	-53.750	51.677	LAX_LV_ENDOCARDIAL	1	1.0	21
30.133	-54.715	50.889	LAX_LV_ENDOCARDIAL	1	1.0	21
31.277	-55.681	49.949	LAX_LV_ENDOCARDIAL	1	1.0	21
32.420	-56.647	49.008	LAX_LV_ENDOCARDIAL	1	1.0	21
32.323	-57.613	48.221	LAX_LV_ENDOCARDIAL	1	1.0	21
33.467	-58.578	47.280	LAX_LV_ENDOCARDIAL	1	1.0	21
34.611	-59.544	46.340	LAX_LV_ENDOCARDIAL	1	1.0	21
35.754	-60.510	45.399	LAX_LV_ENDOCARDIAL	1	1.0	21
36.898	-61.476	44.459	LAX_LV_ENDOCARDIAL	1	1.0	21
38.042	-62.441	43.518	LAX_LV_ENDOCARDIAL	1	1.0	21
39.185	-63.407	42.578	LAX_LV_ENDOCARDIAL	1	1.0	21
40.426	-63.407	42.425	LAX_LV_ENDOCARDIAL	1	1.0	21
41.569	-64.373	41.485	LAX_LV_ENDOCARDIAL	1	1.0	21
42.810	-64.373	41.332	LAX_LV_ENDOCARDIAL	1	1.0	21
43.954	-65.339	40.392	LAX_LV_ENDOCARDIAL	1	1.0	21
45.097	-66.304	39.451	LAX_LV_ENDOCARDIAL	1	1.0	21
46.338	-66.304	39.298	LAX_LV_ENDOCARDIAL	1	1.0	21
47.482	-67.270	38.358	LAX_LV_ENDOCARDIAL	1	1.0	21
48.722	-67.270	38.205	LAX_LV_ENDOCARDIAL	1	1.0	21
49.866	-68.236	37.265	LAX_LV_ENDOCARDIAL	1	1.0	21
51.107	-68.236	37.112	LAX_LV_ENDOCARDIAL	1	1.0	21
52.250	-69.202	36.172	LAX_LV_ENDOCARDIAL	1	1.0	21
53.394	-70.167	35.231	LAX_LV_ENDOCARDIAL	1	1.0	21
54.635	-70.167	35.078	LAX_LV_ENDOCARDIAL	1	1.0	21
55.778	-71.133	34.138	LAX_LV_ENDOCARDIAL	1	1.0	21
56.922	-72.099	33.198	LAX_LV_ENDOCARDIAL	1	1.0	21
58.066	-73.064	32.257	LAX_LV_ENDOCARDIAL	1	1.0	21
59.209	-74.030	31.317	LAX_LV_ENDOCARDIAL	1	1.0	21
60.353	-74.996	30.376	LAX_LV_ENDOCARDIAL	1	1.0	21
61.496	-75.962	29.436	LAX_LV_ENDOCARDIAL	1	1.0	21
62.640	-76.927	28.495	LAX_LV_ENDOCARDIAL	1	1.0	21
63.784	-77.893	27.555	LAX_LV_ENDOCARDIAL	1	1.0	21
63.687	-78.859	26.767	LAX_LV_ENDOCARDIAL	1	1.0	21
64.830	-79.825	25.827	LAX_LV_ENDOCARDIAL	1	1.0	21
64.733	-80.790	25.039	LAX_LV_ENDOCARDIAL	1	1.0	21
65.877	-81.756	24.099	LAX_LV_ENDOCARDIAL	1	1.0	21
65.780	-82.722	23.311	LAX_LV_ENDOCARDIAL	1	1.0	21
66.924	-83.688	22.371	LAX_LV_ENDOCARDIAL	1	1.0	21
66.827	-84.653	21.583	LAX_LV_ENDOCARDIAL	1	1.0	21
67.970	-85.619	20.643	LAX_LV_ENDOCARDIAL	1	1.0	21
67.873	-86.585	19.855	LAX_LV_ENDOCARDIAL	1	1.0	21
67.776	-87.551	19.067	LAX_LV_ENDOCARDIAL	1	1.0	21
68.920	-88.516	18.127	LAX_LV_ENDOCARDIAL	1	1.0	21
68.823	-89.482	17.339	LAX_LV_ENDOCARDIAL	1	1.0	21
69.967	-90.448	16.399	LAX_LV_ENDOCARDIAL	1	1.0	21
69.870	-91.414	15.611	LAX_LV_ENDOCARDIAL	1	1.0	21
71.013	-92.379	14.671	LAX_LV_ENDOCARDIAL	1	1.0	21
70.916	-93.345	13.883	LAX_LV_ENDOCARDIAL	1	1.0	21
72.060	-94.311	12.943	LAX_LV_ENDOCARDIAL	1	1.0	21
71.963	-95.277	12.155	LAX_LV_ENDOCARDIAL	1	1.0	21
71.866	-96.243	11.367	LAX_LV_ENDOCARDIAL	1	1.0	21
73.010	-97.208	10.427	LAX_LV_ENDOCARDIAL	1	1.0	21
72.913	-98.174	9.639	LAX_LV_ENDOCARDIAL	1	1.0	21
74.056	-99.140	8.699	LAX_LV_ENDOCARDIAL	1	1.0	21
75.200	-100.106	7.758	LAX_LV_ENDOCARDIAL	1	1.0	21
76.344	-101.071	6.818	LAX_LV_ENDOCARDIAL	1	1.0	21
77.487	-102.037	5.877	LAX_LV_ENDOCARDIAL	1	1.0	21
78.728	-102.037	5.725	LAX_LV_ENDOCARDIAL	1	1.0	21
79.871	-103.003	4.784	LAX_LV_ENDOCARDIAL	1	1.0	21
81.112	-103.003	4.631	LAX_LV_ENDOCARDIAL	1	1.0	21
82.256	-103.968	3.691	LAX_LV_ENDOCARDIAL	1	1.0	21
83.496	-103.968	3.538	LAX_LV_ENDOCARDIAL	1	1.0	21
84.640	-104.934	2.598	LAX_LV_ENDOCARDIAL	1	1.0	21
85.881	-104.934	2.445	LAX_LV_ENDOCARDIAL	1	1.0	21
87.121	-104.934	2.292	LAX_LV_ENDOCARDIAL	1	1.0	21
88.362	-104.934	2.139	LAX_LV_ENDOCARDIAL	1	1.0	21
89.506	-105.900	1.199	LAX_LV_ENDOCARDIAL	1	1.0	21
90.843	-104.934	1.834	LAX_LV_ENDOCARDIAL	1	1.0	21
92.084	-104.934	1.681	LAX_LV_ENDOCARDIAL	1	1.0	21
93.325	-104.934	1.528	LAX_LV_ENDOCARDIAL	1	1.0	21
94.662	-103.968	2.163	LAX_LV_ENDOCARDIAL	1	1.0	21
95.903	-103.968	2.011	LAX_LV_ENDOCARDIAL	1	1.0	21
97.143	-103.968	1.858	LAX_LV_ENDOCARDIAL	1	1.0	21
98.481	-103.003	2.493	LAX_LV_ENDOCARDIAL	1	1.0	21
99.722	-103.003	2.340	LAX_LV_ENDOCARDIAL	1	1.0	21
101.059	-102.037	2.975	LAX_LV_ENDOCARDIAL	1	1.0	21
102.397	-101.071	3.610	LAX_LV_ENDOCARDIAL	1	1.0	21
103.734	-100.106	4.245	LAX_LV_ENDOCARDIAL	1	1.0	21
105.072	-99.140	4.880	LAX_LV_ENDOCARDIAL	1	1.0	21
105.169	-98.174	5.667	LAX_LV_ENDOCARDIAL	1	1.0	21
106.507	-97.208	6.302	LAX_LV_ENDOCARDIAL	1	1.0	21
106.604	-96.243	7.090	LAX_LV_ENDOCARDIAL	1	1.0	21
106.701	-95.277	7.878	LAX_LV_ENDOCARDIAL	1	1.0	21
106.798	-94.311	8.665	LAX_LV_ENDOCARDIAL	1	1.0	21
106.895	-93.345	9.453	LAX_LV_ENDOCARDIAL	1	1.0	21
108.232	-92.379	10.088	LAX_LV_ENDOCARDIAL	1	1.0	21
108.329	-91.414	10.876	LAX_LV_ENDOCARDIAL	1	1.0	21
