x	y	z	contour type	slice	weight	time frame
301.0	186.0	100.0	SAX_LV_ENDOCARDIAL	10	500	0
274.0	196.0	57.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	147.0	81.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	177.0	71.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	202.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	146.0	102.0	SAX_LV_ENDOCARDIAL	10	500	0
243.0	208.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
268.0	199.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
276.0	196.0	58.0	SAX_LV_ENDOCARDIAL	10	500	0
221.0	166.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
238.0	218.0	72.0	SAX_LV_ENDOCARDIAL	10	500	0
291.0	198.0	67.0	SAX_LV_ENDOCARDIAL	10	500	0
222.0	166.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
268.0	143.0	69.0	SAX_LV_ENDOCARDIAL	10	500	0
305.0	187.0	73.0	SAX_LV_ENDOCARDIAL	10	500	0
295.0	129.0	68.0	SAX_LV_ENDOCARDIAL	10	500	0
307.0	147.0	88.0	SAX_LV_ENDOCARDIAL	10	500	0
297.0	133.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
256.0	182.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
267.0	184.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
226.0	164.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	156.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
273.0	208.0	103.0	SAX_LV_ENDOCARDIAL	10	500	0
235.0	210.0	61.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	178.0	90.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	169.0	113.0	SAX_LV_ENDOCARDIAL	10	500	0
295.0	146.0	102.0	SAX_LV_ENDOCARDIAL	10	500	0
274.0	203.0	107.0	SAX_LV_ENDOCARDIAL	10	500	0
256.0	211.0	98.0	SAX_LV_ENDOCARDIAL	10	500	0
302.0	132.0	72.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	213.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
297.0	176.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
246.0	203.0	105.0	SAX_LV_ENDOCARDIAL	10	500	0
291.0	154.0	108.0	SAX_LV_ENDOCARDIAL	10	500	0
257.0	176.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	202.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
225.0	188.0	59.0	SAX_LV_ENDOCARDIAL	10	500	0
309.0	163.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
242.0	202.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
270.0	141.0	66.0	SAX_LV_ENDOCARDIAL	10	500	0
288.0	205.0	71.0	SAX_LV_ENDOCARDIAL	10	500	0
309.0	148.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
273.0	137.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	191.0	56.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	162.0	92.0	SAX_LV_ENDOCARDIAL	10	500	0
303.0	135.0	79.0	SAX_LV_ENDOCARDIAL	10	500	0
288.0	138.0	97.0	SAX_LV_ENDOCARDIAL	10	500	0
236.0	167.0	105.0	SAX_LV_ENDOCARDIAL	10	500	0
239.0	167.0	69.0	SAX_LV_ENDOCARDIAL	10	500	0
292.0	159.0	48.0	SAX_LV_ENDOCARDIAL	10	500	0
270.0	173.0	116.0	SAX_LV_ENDOCARDIAL	10	500	0
298.0	177.0	58.0	SAX_LV_ENDOCARDIAL	10	500	0
241.0	187.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
268.0	173.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
263.0	158.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
301.0	158.0	49.0	SAX_LV_ENDOCARDIAL	10	500	0
274.0	174.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
297.0	194.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	199.0	104.0	SAX_LV_ENDOCARDIAL	10	500	0
227.0	174.0	68.0	SAX_LV_ENDOCARDIAL	10	500	0
264.0	147.0	80.0	SAX_LV_ENDOCARDIAL	10	500	0
273.0	143.0	60.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	185.0	110.0	SAX_LV_ENDOCARDIAL	10	500	0
265.0	146.0	78.0	SAX_LV_ENDOCARDIAL	10	500	0
275.0	193.0	56.0	SAX_LV_ENDOCARDIAL	10	500	0
240.0	166.0	98.0	SAX_LV_ENDOCARDIAL	10	500	0
253.0	210.0	98.0	SAX_LV_ENDOCARDIAL	10	500	0
286.0	132.0	85.0	SAX_LV_ENDOCARDIAL	10	500	0
265.0	153.0	105.0	SAX_LV_ENDOCARDIAL	10	500	0
222.0	172.0	76.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	133.0	87.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	133.0	89.0	SAX_LV_ENDOCARDIAL	10	500	0
263.0	176.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
235.0	167.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
266.0	144.0	69.0	SAX_LV_ENDOCARDIAL	10	500	0
227.0	186.0	58.0	SAX_LV_ENDOCARDIAL	10	500	0
287.0	201.0	105.0	SAX_LV_ENDOCARDIAL	10	500	0
303.0	143.0	91.0	SAX_LV_ENDOCARDIAL	10	500	0
246.0	215.0	77.0	SAX_LV_ENDOCARDIAL	10	500	0
232.0	174.0	64.0	SAX_LV_ENDOCARDIAL	10	500	0
300.0	129.0	66.0	SAX_LV_ENDOCARDIAL	10	500	0
258.0	209.0	57.0	SAX_LV_ENDOCARDIAL	10	500	0
271.0	204.0	107.0	SAX_LV_ENDOCARDIAL	10	500	0
262.0	217.0	82.0	SAX_LV_ENDOCARDIAL	10	500	0
247.0	202.0	105.0	SAX_LV_ENDOCARDIAL	10	500	0
287.0	157.0	48.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	203.0	67.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	136.0	54.0	SAX_LV_ENDOCARDIAL	10	500	0
248.0	209.0	99.0	SAX_LV_ENDOCARDIAL	10	500	0
249.0	217.0	79.0	SAX_LV_ENDOCARDIAL	10	500	0
244.0	193.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
268.0	158.0	110.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	197.0	90.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	155.0	89.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	129.0	67.0	SAX_LV_ENDOCARDIAL	10	500	0
270.0	189.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
287.0	133.0	89.0	SAX_LV_ENDOCARDIAL	10	500	0
304.0	155.0	99.0	SAX_LV_ENDOCARDIAL	10	500	0
241.0	172.0	64.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	140.0	87.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	193.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	154.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
245.0	206.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
262.0	167.0	56.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	149.0	85.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	167.0	74.0	SAX_LV_ENDOCARDIAL	10	500	0
259.0	191.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
286.0	199.0	64.0	SAX_LV_ENDOCARDIAL	10	500	0
303.0	156.0	101.0	SAX_LV_ENDOCARDIAL	10	500	0
291.0	164.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
275.0	209.0	65.0	SAX_LV_ENDOCARDIAL	10	500	0
230.0	168.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	138.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
289.0	137.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
243.0	187.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
289.0	202.0	68.0	SAX_LV_ENDOCARDIAL	10	500	0
272.0	140.0	63.0	SAX_LV_ENDOCARDIAL	10	500	0
275.0	213.0	98.0	SAX_LV_ENDOCARDIAL	10	500	0
300.0	142.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
249.0	161.0	90.0	SAX_LV_ENDOCARDIAL	10	500	0
309.0	177.0	83.0	SAX_LV_ENDOCARDIAL	10	500	0
226.0	186.0	60.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	145.0	103.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	163.0	79.0	SAX_LV_ENDOCARDIAL	10	500	0
